
Logging session 07 - user SS - 2/6/2012 5:39:44 PM
40945.7419713542,drag,gesture h:11 v:54,07
40945.7419713542,rotate,gesture r:3,07
40945.7419713542,resize,gesture 0.421,07
40945.742003588,resize,gesture 1.609,07
40945.7420448032,minimize,double tap,07
40945.7421143403,resize,gesture 1.525,07
40945.7421560532,resize,gesture 0.788,07
40945.7422598264,minimize,size reduce,07
40945.742259838,resize,gesture 0.709,07
40945.742259838,minimize,size reduce,07
40945.7422828704,minimize,size reduce,07
40945.7422828819,minimize,size reduce,07
40945.7423405093,drag,gesture h:20 v:46,07
40945.7423405093,rotate,gesture r:10,07
40945.7423405093,resize,gesture 1.268,07
40945.7423721759,resize,gesture 1.264,07
40945.7423721875,minimize,double tap,07
40945.742452419,drag,gesture h:57 v:12,07
40945.742452419,resize,gesture 0.769,07
40945.7424979398,drag,gesture h:184 v:-102,07
40945.7424979398,resize,gesture 0.600,07
40945.7425479051,rotate,gesture r:6,07
40945.7425479051,resize,gesture 1.056,07
40945.7425825116,drag,gesture h:-119 v:107,07
40945.7425825116,resize,gesture 3.337,07
40945.7426354745,rotate,gesture r:16,07
40945.7426354745,resize,gesture 0.396,07
40945.7426591435,rotate,gesture r:74,07
40945.7426591435,resize,gesture 1.919,07
40945.7427071412,minimize,size reduce,07
40945.7427071412,drag,gesture h:98 v:47,07
40945.7427071412,rotate,gesture r:13,07
40945.7427071412,resize,gesture 0.502,07
40945.7427071412,minimize,size reduce,07
40945.7427531597,rotate,gesture r:3,07
40945.7427531597,resize,gesture 1.681,07
40945.7427791782,minimize,double tap,07
40945.7428201852,minimize,size reduce,07
40945.7428201852,rotate,gesture r:5,07
40945.7428201852,resize,gesture 0.594,07
40945.7428201852,minimize,size reduce,07
40945.7428791667,resize,gesture 1.568,07
40945.7430283565,drag,gesture h:72 v:-3,07
40945.7430283565,rotate,gesture r:3,07
40945.7430283565,resize,gesture 0.964,07
40945.7430503819,minimize,off edge,07
40945.7430503819,minimize,off edge,07
40945.7430505787,minimize,off edge,07
40945.7430540162,drag,gesture h:-13 v:412,07
40945.7431341667,minimize,off edge,07
40945.7431343403,minimize,off edge,07
40945.7431345139,minimize,off edge,07
40945.7431687153,minimize,off edge,07
40945.7431688194,minimize,off edge,07
40945.7431690278,minimize,off edge,07
40945.74317875,drag,gesture h:448 v:-407,07
40945.7431950347,drag,gesture h:73 v:90,07
40945.7432114931,drag,gesture h:210 v:387,07
40945.7432265394,minimize,blob touch,07
40945.7432623727,minimize,off edge,07
40945.7432625347,minimize,off edge,07
40945.7432626968,minimize,off edge,07
40945.7433007755,minimize,off edge,07
40945.7433009491,minimize,off edge,07
40945.7433009838,minimize,off edge,07
40945.7433078588,drag,gesture h:237 v:284,07
40945.7433078588,rotate,gesture r:113,07
40945.7433636806,drag,gesture h:161 v:-175,07
40945.7433636806,resize,gesture 0.731,07
40945.7434037732,minimize,blob touch,07
40945.7434504167,minimize,blob touch,07
40945.7435323032,drag,gesture h:59 v:-64,07
40945.7435361111,minimize,blob touch,07
40945.743560463,minimize,blob touch,07
40945.7435781829,minimize,blob touch,07
